40.6721	-74.1809	191
40.6604	-74.1821	389
40.6474	-74.1819	511
40.6416	-74.1851	589
40.6677	-74.2477	1433
40.6948	-74.2668	1882
40.7205	-74.2847	2278
40.7490	-74.3040	2652
40.7832	-74.3267	3025
40.8065	-74.3438	3056
40.8348	-74.3753	3231
40.8735	-74.4158	3833
40.9102	-74.4546	4313
40.9504	-74.4972	4610
40.9888	-74.5378	5098
41.0299	-74.5816	5532
41.0831	-74.6385	6088
41.1153	-74.6735	6408
41.1386	-74.7067	6683
41.1579	-74.7454	6942
41.1968	-74.8341	7551
41.2217	-74.8914	7879
41.2417	-74.9376	8169
41.2665	-74.9948	8481
41.2947	-75.0602	8870
41.3297	-75.1414	9403
41.3561	-75.2027	9860
41.3820	-75.2633	10257
41.3995	-75.3042	10363
41.4267	-75.3677	10371
41.4519	-75.4268	10607
41.4728	-75.4772	10752
41.4869	-75.5226	10874
41.5157	-75.6221	11270
41.5341	-75.6858	11560
41.5463	-75.7284	11712
41.5716	-75.8170	12131
41.5947	-75.8979	12192
41.6126	-75.9605	12192
41.6305	-76.0246	12200
41.6428	-76.0691	12192
41.6550	-76.1127	12184
41.6727	-76.1751	12192
41.6903	-76.2375	12192
41.7069	-76.2966	12192
41.7235	-76.3561	12192
41.7413	-76.4197	12192
41.7590	-76.4834	12192
41.7758	-76.5446	12192
41.7931	-76.6072	12192
41.8106	-76.6703	12192
41.8279	-76.7327	12192
41.8413	-76.7818	12192
41.8586	-76.8449	12192
41.8749	-76.9050	12192
41.8937	-76.9739	12192
41.9121	-77.0417	12192
41.9297	-77.1064	12192
41.9464	-77.1685	12192
41.9645	-77.2359	12192
41.9818	-77.3003	12192
41.9999	-77.3676	12192
42.0172	-77.4323	12192
42.0357	-77.5002	12192
42.0535	-77.5658	12192
42.0713	-77.6313	12192
42.0898	-77.6992	12192
42.1073	-77.7646	12192
42.1248	-77.8297	12192
42.1424	-77.8947	12192
42.1513	-77.9280	12192
42.1694	-77.9961	12192
42.1782	-78.0292	12192
42.2043	-78.1277	12192
42.2298	-78.2241	12192
42.2470	-78.2892	12192
42.2632	-78.3549	12192
42.2793	-78.4204	12192
42.2960	-78.4886	12192
42.3114	-78.5507	12192
42.3341	-78.6424	12192
42.3501	-78.7066	12192
42.3668	-78.7742	12192
42.3828	-78.8399	12192
42.3938	-78.8864	12192
42.4011	-78.9327	12192
42.4061	-78.9981	12192
42.4110	-79.0712	12192
42.4151	-79.1384	12192
42.4192	-79.2037	12192
42.4233	-79.2705	12192
42.4277	-79.3398	12192
42.4319	-79.4049	12192
42.4361	-79.4729	12192
42.4403	-79.5414	12192
42.4446	-79.6092	12192
42.4503	-79.7006	12192
42.4543	-79.7687	12192
42.4585	-79.8393	12192
42.4621	-79.8972	12192
42.4660	-79.9648	12192
42.4700	-80.0364	12192
42.4740	-80.1059	12192
42.4780	-80.1761	12192
42.4821	-80.2493	12192
42.4856	-80.3164	12192
42.4894	-80.3846	12192
42.4932	-80.4543	12192
42.4967	-80.5205	12192
42.5004	-80.5908	12192
42.5037	-80.6543	12192
42.5067	-80.7225	12192
42.5078	-80.7641	12192
42.5097	-80.8332	12192
42.5119	-80.8999	12192
42.5144	-80.9702	12192
42.5166	-81.0412	12192
42.5186	-81.1128	12192
42.5203	-81.1823	12192
42.5219	-81.2490	12192
42.5308	-81.3389	12192
42.5386	-81.4066	12192
42.5463	-81.4751	12192
42.5568	-81.5672	12192
42.5632	-81.6252	12192
42.5719	-81.7021	12192
42.5815	-81.7886	12192
42.5888	-81.8541	12192
42.5964	-81.9235	12192
42.6039	-81.9926	12162
42.6103	-82.0512	12024
42.6174	-82.1151	11864
42.6242	-82.1786	11704
42.6312	-82.2438	11544
42.6376	-82.3075	11400
42.6441	-82.3692	11262
42.6507	-82.4305	11118
42.6576	-82.4951	10973
42.6640	-82.5577	10828
42.6711	-82.6258	10683
42.6779	-82.6914	10538
42.6867	-82.7780	10340
42.6929	-82.8397	10211
42.6994	-82.9063	10058
42.7089	-83.0020	9853
42.7164	-83.0706	9754
42.7220	-83.1159	9754
42.7302	-83.1831	9754
42.7379	-83.2490	9754
42.7458	-83.3180	9754
42.7540	-83.3899	9754
42.7618	-83.4580	9754
42.7692	-83.5233	9754
42.7774	-83.5958	9754
42.7851	-83.6632	9754
42.7929	-83.7326	9754
42.8003	-83.7992	9754
42.8079	-83.8681	9754
42.8156	-83.9374	9754
42.8242	-84.0159	9754
42.8320	-84.0877	9754
42.8395	-84.1569	9754
42.8466	-84.2226	9754
42.8543	-84.2948	9754
42.8616	-84.3638	9754
42.8690	-84.4345	9754
42.8762	-84.5032	9754
42.8767	-84.5551	9754
42.8625	-84.6555	9754
42.8525	-84.7236	9754
42.8410	-84.8003	9754
42.8296	-84.8755	9754
42.8183	-84.9499	9754
42.8066	-85.0238	9754
42.7906	-85.1241	9754
42.7790	-85.1974	9754
42.7674	-85.2693	9754
42.7552	-85.3455	9754
42.7434	-85.4187	9754
42.7308	-85.4962	9754
42.7185	-85.5714	9754
42.7066	-85.6441	9754
42.6944	-85.7180	9754
42.6825	-85.7901	9495
42.6715	-85.8575	8854
42.6575	-85.9415	8268
42.6454	-86.0133	7780
42.6332	-86.0852	7315
42.6212	-86.1564	6812
42.6098	-86.2242	6332
42.5983	-86.2922	6096
42.5869	-86.3584	6096
42.5750	-86.4284	6096
42.5632	-86.4968	6096
42.5517	-86.5635	6096
42.5399	-86.6321	6096
42.5281	-86.7002	6096
42.5162	-86.7677	6096
42.5040	-86.8383	6096
42.4922	-86.9049	6096
